{1,2}	skip moves:[[1 1] [2 2]]; speedup:22.5=>18
{2,3,5,6,7}	skip moves:[[5 5] [1 4] [1 5] [2 4] [6 6] [5 6]]; speedup:15.68=>15.35
{1,2,3,5,6,7}	skip moves:[[5 5] [1 4] [2 4] [6 6] [3 5] [3 6] [5 6]]; speedup:18.27=>17.67
{1,4,5,6,7}	skip moves:[[4 6] [4 5] [2 3] [5 5] [2 4] [3 3] [6 6] [5 6]]; speedup:16.03=>15.8
{2,4,5,6,7}	skip moves:[[5 6] [6 6] [1 5] [3 3]]; speedup:14.97=>14.87
{1,2,4,5,6,7}	skip moves:[[2 3] [5 5] [3 3] [6 6] [4 5] [4 6] [5 6]]; speedup:17.63=>17.07
{3,4,5,6,7}	skip moves:[[5 6] [2 4] [1 5] [6 6]]; speedup:14.23=>14.15
{1,3,4,5,6,7}	skip moves:[[5 5] [2 3] [2 4] [6 6] [4 5] [4 6] [5 6]]; speedup:16.81=>16.58
{2,3,4,5,6,7}	skip moves:[[1 5] [6 6] [4 6] [5 6]]; speedup:16.03=>15.88
{1,2,3,4,5,6,7}	skip moves:[[3 6] [4 4] [5 5] [4 5] [6 6] [4 6] [5 6]]; speedup:17.66=>17.43
{1,2,8}	skip moves:[[1 1] [2 2]]; speedup:21.96=>20.06
{1,3,8}	skip moves:[[1 2] [3 3]]; speedup:23.34=>18.14
{2,3,8}	skip moves:[[1 2] [3 3]]; speedup:17.91=>17.2
{1,2,3,8}	skip moves:[[2 3]]; speedup:24.21=>22.04
{1,4,8}	skip moves:[[1 3] [2 2]]; speedup:22.69=>17.25
{2,4,8}	skip moves:[[1 3]]; speedup:16.66=>15.9
{1,2,4,8}	skip moves:[[2 4]]; speedup:22.99=>20.8
{1,3,4,8}	skip moves:[[3 4]]; speedup:20.84=>18.51
{2,3,4,8}	skip moves:[[3 4]]; speedup:17.84=>17.56
{1,2,3,4,8}	skip moves:[[3 4] [3 3]]; speedup:19.41=>19.25
{1,5,8}	skip moves:[[2 3] [1 4] [5 5]]; speedup:24.55=>16.65
{2,5,8}	skip moves:[[2 3] [5 5] [1 4]]; speedup:16.81=>15
{1,2,5,8}	skip moves:[[2 5]]; speedup:22.03=>20.13
{3,5,8}	skip moves:[[2 3] [1 4] [5 5]]; speedup:14.68=>14.67
{1,3,5,8}	skip moves:[[2 3] [1 4] [5 5]]; speedup:17.93=>17.85
{2,3,5,8}	skip moves:[[1 4] [5 5]]; speedup:16.94=>16.89
{1,2,3,5,8}	skip moves:[[3 3] [1 4] [5 5]]; speedup:19.34=>18.82
{1,4,5,8}	skip moves:[[5 5] [2 3] [4 5]]; speedup:19.3=>17.02
{2,4,5,8}	skip moves:[[4 5]]; speedup:16.38=>15.98
{1,2,4,5,8}	skip moves:[[4 5] [1 3] [2 3] [5 5]]; speedup:18.71=>18.02
{1,3,4,5,8}	skip moves:[[2 2] [4 5] [2 3] [5 5]]; speedup:17.8=>17.63
{2,3,4,5,8}	skip moves:[[4 5] [5 5] [1 4]]; speedup:17.01=>16.91
{1,2,3,4,5,8}	skip moves:[[5 5] [3 4] [4 5]]; speedup:19.14=>18.78
{1,6,8}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:25.25=>16.29
{2,6,8}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:17.43=>15.18
{1,2,6,8}	skip moves:[[3 3] [2 4] [1 5] [6 6] [1 6]]; speedup:19.92=>19.8
{3,6,8}	skip moves:[[2 4] [1 5] [6 6]]; speedup:13.85=>13.42
{1,3,6,8}	skip moves:[[1 5] [2 4] [6 6] [3 6]]; speedup:19.53=>17.35
{2,3,6,8}	skip moves:[[1 5] [2 4] [6 6] [3 6]]; speedup:17.18=>16.69
{1,2,3,6,8}	skip moves:[[3 3] [3 6] [1 5] [2 4] [6 6]]; speedup:19.49=>18.55
{1,4,6,8}	skip moves:[[3 3] [2 4] [1 5] [6 6] [4 6]]; speedup:18.74=>16.59
{2,4,6,8}	skip moves:[[4 6]]; speedup:16.52=>16.05
{1,2,4,6,8}	skip moves:[[1 3] [4 6] [1 5] [3 3] [6 6]]; speedup:18.77=>17.92
{3,4,6,8}	skip moves:[[2 4] [1 5] [6 6]]; speedup:14.79=>14.76
{1,3,4,6,8}	skip moves:[[3 6] [2 2] [4 6] [1 5] [2 4] [6 6]]; speedup:17.51=>17.19
{2,3,4,6,8}	skip moves:[[4 6] [1 5] [6 6]]; speedup:16.84=>16.69
{1,2,3,4,6,8}	skip moves:[[1 5] [6 6] [3 4] [3 6] [4 6]]; speedup:19.08=>18.52
{1,5,6,8}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4] [6 6] [5 6]]; speedup:18.18=>15.93
{2,5,6,8}	skip moves:[[5 6]]; speedup:15.65=>15.21
{1,2,5,6,8}	skip moves:[[5 5] [2 3] [1 4] [5 6] [3 3] [2 4] [6 6]]; speedup:18.46=>17.36
{3,5,6,8}	skip moves:[[1 5] [2 4] [6 6] [5 6]]; speedup:14.41=>14.28
{1,3,5,6,8}	skip moves:[[1 4] [2 3] [5 5] [2 4] [6 6] [5 6]]; speedup:17.09=>16.76
{2,3,5,6,8}	skip moves:[[1 4] [5 5] [2 4] [1 5] [6 6] [5 6]]; speedup:16.47=>16.21
{1,2,3,5,6,8}	skip moves:[[5 5] [1 4] [2 4] [6 6] [3 6] [5 6]]; speedup:18.59=>18.06
{1,4,5,6,8}	skip moves:[[4 5] [2 3] [5 5] [4 6] [2 4] [3 3] [6 6] [5 6]]; speedup:16.48=>16.22
{2,4,5,6,8}	skip moves:[[5 6] [3 3] [1 5] [6 6] [5 5] [1 4] [2 3]]; speedup:15.85=>15.75
{1,2,4,5,6,8}	skip moves:[[2 3] [5 5] [3 3] [6 6] [4 5] [4 6] [5 6]]; speedup:18.08=>17.49
{3,4,5,6,8}	skip moves:[[2 4] [1 5] [6 6]]; speedup:15.08=>15.01
{1,3,4,5,6,8}	skip moves:[[3 6] [5 5] [2 3] [4 5] [2 4] [6 6] [4 6] [5 6]]; speedup:17.22=>16.98
{2,3,4,5,6,8}	skip moves:[[4 5] [1 4] [5 5] [4 6] [1 5] [6 6] [5 6]]; speedup:16.7=>16.58
{1,2,3,4,5,6,8}	skip moves:[[3 6] [5 5] [4 5] [6 6] [4 6] [5 6]]; speedup:18.07=>17.84
{1,2,7,8}	skip moves:[[1 1] [2 2]]; speedup:22.17=>21.05
{1,3,7,8}	skip moves:[[3 3] [1 2]]; speedup:22.46=>19.18
{2,3,7,8}	skip moves:[[3 3] [1 2]]; speedup:18.73=>18.27
{1,2,3,7,8}	skip moves:[[2 3]]; speedup:24.22=>22.72
{1,4,7,8}	skip moves:[[2 2] [1 3]]; speedup:21.75=>18.32
{2,4,7,8}	skip moves:[[1 3]]; speedup:17.49=>17.02
{1,2,4,7,8}	skip moves:[[2 4]]; speedup:23.1=>21.55
{1,2,3,4,7,8}	skip moves:[[3 3]]; speedup:20.12=>20.06
{1,5,7,8}	skip moves:[[2 3] [5 5] [1 4]]; speedup:23.02=>17.75
{2,5,7,8}	skip moves:[[2 3] [5 5] [1 4]]; speedup:17.78=>16.52
{1,2,5,7,8}	skip moves:[[1 4] [2 3] [5 5] [1 5]]; speedup:20.99=>20.96
{3,5,7,8}	skip moves:[[2 3] [5 5] [1 4]]; speedup:15.87=>15.82
{1,3,5,7,8}	skip moves:[[2 3] [1 4] [5 5]]; speedup:18.81=>18.71
{2,3,5,7,8}	skip moves:[[1 4] [5 5]]; speedup:18.06=>18.02
{1,2,3,5,7,8}	skip moves:[[3 3] [5 5] [1 4]]; speedup:20.14=>19.73
{1,4,5,7,8}	skip moves:[[2 3] [5 5] [4 5]]; speedup:19.63=>17.93
{2,4,5,7,8}	skip moves:[[4 5]]; speedup:17.47=>17.15
{1,2,4,5,7,8}	skip moves:[[1 3] [4 5] [2 3] [5 5]]; speedup:19.55=>18.98
{1,3,4,5,7,8}	skip moves:[[2 2] [4 5] [2 3] [5 5]]; speedup:18.73=>18.6
{2,3,4,5,7,8}	skip moves:[[4 5] [5 5] [1 4]]; speedup:18.19=>18.15
{1,2,3,4,5,7,8}	skip moves:[[5 5] [4 5]]; speedup:19.84=>19.61
{1,6,7,8}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:24.46=>17.79
{2,6,7,8}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:17.8=>16.3
{1,2,6,7,8}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:20.72=>20.59
{3,6,7,8}	skip moves:[[2 4] [1 5] [6 6]]; speedup:15.01=>14.7
{1,3,6,7,8}	skip moves:[[2 4] [1 5] [6 6] [3 6]]; speedup:20.25=>18.51
{2,3,6,7,8}	skip moves:[[2 4] [1 5] [6 6] [3 6]]; speedup:17.99=>17.58
{1,2,3,6,7,8}	skip moves:[[3 3] [3 6] [2 4] [1 5] [6 6]]; speedup:20.27=>19.52
{1,4,6,7,8}	skip moves:[[2 4] [3 3] [1 5] [6 6] [4 6]]; speedup:19.53=>17.81
{2,4,6,7,8}	skip moves:[[1 5] [3 3] [6 6] [4 6]]; speedup:17.36=>17.01
{1,2,4,6,7,8}	skip moves:[[1 3] [4 6] [3 3] [1 5] [6 6]]; speedup:19.6=>18.93
{3,4,6,7,8}	skip moves:[[4 6] [2 4] [1 5] [6 6]]; speedup:16.06=>15.98
{1,3,4,6,7,8}	skip moves:[[2 2] [4 6] [2 4] [1 5] [6 6]]; speedup:18.6=>18.37
{2,3,4,6,7,8}	skip moves:[[4 6] [1 5] [6 6]]; speedup:17.81=>17.69
{1,2,3,4,6,7,8}	skip moves:[[1 5] [6 6] [3 6] [4 6]]; speedup:19.83=>19.42
{1,5,6,7,8}	skip moves:[[3 3] [2 4] [6 6] [5 5] [2 3] [1 4] [5 6]]; speedup:19=>17.11
{2,5,6,7,8}	skip moves:[[1 5] [3 3] [2 4] [6 6] [5 6]]; speedup:16.81=>16.44
{1,2,5,6,7,8}	skip moves:[[2 3] [5 5] [1 4] [3 3] [2 4] [6 6] [5 6]]; speedup:19.45=>18.57
{3,5,6,7,8}	skip moves:[[2 4] [1 5] [6 6] [5 6]]; speedup:15.49=>15.37
{1,3,5,6,7,8}	skip moves:[[2 3] [5 5] [1 4] [2 4] [6 6] [5 6]]; speedup:18.09=>17.8
{2,3,5,6,7,8}	skip moves:[[1 4] [5 5] [1 5] [2 4] [6 6] [5 6]]; speedup:17.52=>17.3
{1,2,3,5,6,7,8}	skip moves:[[1 4] [5 5] [2 4] [6 6] [3 6] [5 6]]; speedup:19.51=>19.06
{1,4,5,6,7,8}	skip moves:[[4 6] [4 5] [5 5] [2 3] [3 3] [2 4] [6 6] [5 6]]; speedup:17.55=>17.3
{2,4,5,6,7,8}	skip moves:[[2 3] [5 5] [1 4] [5 6] [1 5] [6 6] [3 3]]; speedup:16.93=>16.86
{1,2,4,5,6,7,8}	skip moves:[[1 3] [2 3] [5 5] [3 3] [6 6] [4 5] [4 6] [5 6]]; speedup:19.06=>18.57
{3,4,5,6,7,8}	skip moves:[[5 6] [1 5] [2 4] [6 6]]; speedup:16.22=>16.15
{1,3,4,5,6,7,8}	skip moves:[[5 5] [2 3] [4 5] [2 4] [6 6] [4 6] [5 6]]; speedup:18.27=>18.06
{2,3,4,5,6,7,8}	skip moves:[[4 6] [1 5] [6 6] [5 6]]; speedup:17.79=>17.7
{1,2,3,4,5,6,7,8}	skip moves:[[3 6] [5 5] [4 5] [6 6] [4 6] [5 6]]; speedup:19.07=>18.87
{1,2,9}	skip moves:[[2 2]]; speedup:23.1=>21
{1,3,9}	skip moves:[[1 2] [3 3]]; speedup:24.73=>19.12
{2,3,9}	skip moves:[[1 2] [3 3]]; speedup:18.97=>18.21
{1,2,3,9}	skip moves:[[2 3]]; speedup:25.12=>22.81
{1,4,9}	skip moves:[[1 3] [2 2] [4 4]]; speedup:25.34=>18.21
{2,4,9}	skip moves:[[1 3] [4 4]]; speedup:18=>16.88
{1,2,4,9}	skip moves:[[2 4]]; speedup:23.69=>21.52
{1,3,4,9}	skip moves:[[3 4]]; speedup:21.63=>19.32
{2,3,4,9}	skip moves:[[3 4]]; speedup:18.7=>18.41
{1,2,3,4,9}	skip moves:[[3 4] [3 3] [4 4]]; speedup:20.37=>20.07
{1,5,9}	skip moves:[[1 4] [2 3] [5 5]]; speedup:26.07=>17.69
{2,5,9}	skip moves:[[2 3] [1 4] [5 5]]; speedup:17.98=>16.1
{1,2,5,9}	skip moves:[[2 5]]; speedup:22.99=>21.01
{3,5,9}	skip moves:[[2 3] [1 4] [5 5]]; speedup:15.43=>15.19
{1,3,5,9}	skip moves:[[2 3] [5 5] [1 4] [3 5]]; speedup:20.84=>18.73
{2,3,5,9}	skip moves:[[1 4] [5 5] [3 5]]; speedup:18.2=>17.76
{1,2,3,5,9}	skip moves:[[3 5] [3 3] [1 4] [5 5]]; speedup:20.24=>19.61
{1,4,5,9}	skip moves:[[2 3] [5 5]]; speedup:17.98=>17.93
{1,2,4,5,9}	skip moves:[[4 4] [1 3] [2 3] [5 5]]; speedup:19.58=>18.95
{1,3,4,5,9}	skip moves:[[4 4] [2 2] [2 3] [5 5]]; speedup:18.59=>18.46
{2,3,4,5,9}	skip moves:[[4 4] [1 3] [1 4] [5 5]]; speedup:17.78=>17.68
{1,2,3,4,5,9}	skip moves:[[4 4] [5 5] [3 4] [3 5]]; speedup:19.83=>19.55
{1,6,9}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:26.78=>17.34
{2,6,9}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:17.91=>15.6
{1,2,6,9}	skip moves:[[3 3] [2 4] [1 6] [1 5] [6 6] [2 6]]; speedup:22.67=>20.55
{3,6,9}	skip moves:[[1 5] [2 4] [6 6]]; speedup:15.76=>15.69
{1,3,6,9}	skip moves:[[2 4] [1 5] [6 6]]; speedup:18.6=>18.39
{2,3,6,9}	skip moves:[[2 4] [1 5] [6 6]]; speedup:17.63=>17.41
{1,2,3,6,9}	skip moves:[[3 3] [1 5] [2 4] [6 6]]; speedup:20.25=>19.43
{1,4,6,9}	skip moves:[[3 3] [2 4] [1 5] [6 6] [4 6]]; speedup:19.63=>17.48
{2,4,6,9}	skip moves:[[3 3] [1 5] [6 6] [4 6]]; speedup:17.01=>16.44
{1,2,4,6,9}	skip moves:[[4 4] [1 3] [4 6] [3 3] [1 5] [6 6]]; speedup:19.48=>18.58
{1,3,4,6,9}	skip moves:[[4 4] [2 2] [4 6] [2 4] [1 5] [6 6]]; speedup:18.52=>18.22
{2,3,4,6,9}	skip moves:[[4 6] [1 5] [6 6]]; speedup:17.65=>17.48
{1,2,3,4,6,9}	skip moves:[[2 6] [4 4] [6 6] [1 5] [3 4] [4 6]]; speedup:19.71=>19.29
{1,5,6,9}	skip moves:[[5 5] [2 3] [1 4] [3 3] [2 4] [6 6] [5 6]]; speedup:19.27=>16.93
{2,5,6,9}	skip moves:[[3 3] [1 5] [2 4] [6 6] [5 6]]; speedup:16.35=>15.82
{1,2,5,6,9}	skip moves:[[2 3] [5 5] [1 4] [5 6] [2 4] [3 3] [6 6]]; speedup:19.2=>18.1
{3,5,6,9}	skip moves:[[5 6]]; speedup:15.72=>15.71
{1,3,5,6,9}	skip moves:[[5 5] [2 3] [1 4] [2 4] [6 6] [5 6]]; speedup:18.09=>17.75
{2,3,5,6,9}	skip moves:[[5 5] [1 4] [1 5] [2 4] [6 6] [5 6]]; speedup:17.27=>17
{1,2,3,5,6,9}	skip moves:[[5 5] [1 4] [2 4] [6 6] [3 5] [5 6]]; speedup:19.35=>18.86
{1,4,5,6,9}	skip moves:[[2 3] [5 5] [4 6] [3 3] [2 4] [6 6] [5 6]]; speedup:17.46=>17.2
{2,4,5,6,9}	skip moves:[[5 6] [1 5] [3 3] [6 6]]; speedup:16.58=>16.49
{1,2,4,5,6,9}	skip moves:[[2 3] [5 5] [3 3] [6 6] [4 6] [5 6]]; speedup:18.68=>18.23
{1,3,4,5,6,9}	skip moves:[[5 5] [2 3] [2 4] [6 6] [4 6] [5 6]]; speedup:18.14=>17.92
{2,3,4,5,6,9}	skip moves:[[1 4] [5 5] [1 5] [6 6] [4 6] [5 6]]; speedup:17.48=>17.35
{1,2,3,4,5,6,9}	skip moves:[[4 4] [5 5] [6 6] [4 6] [5 6]]; speedup:18.82=>18.63
{1,2,7,9}	skip moves:[[2 2]]; speedup:23.07=>21.9
{1,3,7,9}	skip moves:[[3 3] [1 2]]; speedup:23.49=>20.06
{2,3,7,9}	skip moves:[[3 3] [1 2]]; speedup:19.66=>19.18
{1,2,3,7,9}	skip moves:[[2 3]]; speedup:25=>23.43
{1,4,7,9}	skip moves:[[2 2] [4 4] [1 3]]; speedup:23.69=>19.18
{2,4,7,9}	skip moves:[[1 3] [4 4]]; speedup:18.6=>17.89
{1,2,4,7,9}	skip moves:[[2 4]]; speedup:23.76=>22.22
{1,2,3,4,7,9}	skip moves:[[3 3] [4 4]]; speedup:20.98=>20.82
{1,5,7,9}	skip moves:[[2 3] [1 4] [5 5]]; speedup:24.14=>18.68
{2,5,7,9}	skip moves:[[2 3] [1 4] [5 5]]; speedup:18.78=>17.48
{1,2,5,7,9}	skip moves:[[2 3] [1 5] [5 5] [1 4]]; speedup:21.79=>21.73
{3,5,7,9}	skip moves:[[1 4] [5 5] [2 3]]; speedup:16.48=>16.3
{1,3,5,7,9}	skip moves:[[2 3] [1 4] [5 5] [3 5]]; speedup:21.13=>19.52
{2,3,5,7,9}	skip moves:[[5 5] [1 4] [3 5]]; speedup:19.14=>18.81
{1,2,3,5,7,9}	skip moves:[[3 3] [3 5] [1 4] [5 5]]; speedup:20.95=>20.44
{1,4,5,7,9}	skip moves:[[2 3] [5 5]]; speedup:18.83=>18.77
{1,2,4,5,7,9}	skip moves:[[4 4] [1 3] [5 5] [2 3]]; speedup:20.33=>19.83
{1,3,4,5,7,9}	skip moves:[[4 4] [2 2] [2 3] [5 5]]; speedup:19.44=>19.34
{2,3,4,5,7,9}	skip moves:[[1 4] [5 5]]; speedup:18.87=>18.83
{1,2,3,4,5,7,9}	skip moves:[[4 4] [5 5] [3 5]]; speedup:20.47=>20.32
{1,6,7,9}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:25.63=>18.71
{2,6,7,9}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:18.25=>16.69
{1,2,6,7,9}	skip moves:[[2 4] [3 3] [1 5] [6 6] [2 6]]; speedup:23=>21.28
{3,6,7,9}	skip moves:[[2 4] [1 5] [6 6]]; speedup:16.81=>16.73
{1,3,6,7,9}	skip moves:[[2 4] [1 5] [6 6]]; speedup:19.59=>19.44
{2,3,6,7,9}	skip moves:[[2 4] [1 5] [6 6]]; speedup:18.45=>18.26
{1,2,3,6,7,9}	skip moves:[[3 3] [2 4] [1 5] [6 6]]; speedup:20.96=>20.33
{1,4,6,7,9}	skip moves:[[2 2] [1 3] [4 4] [2 4] [3 3] [1 5] [6 6] [4 6]]; speedup:20.33=>18.6
{2,4,6,7,9}	skip moves:[[3 3] [1 5] [6 6] [4 6]]; speedup:17.8=>17.35
